Vftable	Methods	Flags	Type	Hierarchy
0142066E48	11		hkStdioStreamReader	hkStdioStreamReader: hkSeekableStreamReader, hkStreamReader, hkReferencedObject, hkBaseObject;
0142066EB0	11		hkWin32StreamWriter	hkWin32StreamWriter: hkStreamWriter, hkReferencedObject, hkBaseObject;
0142066F10	11		hkBufferedStreamReader	hkBufferedStreamReader: hkSeekableStreamReader, hkStreamReader, hkReferencedObject, hkBaseObject;
0142066F70	13		hkBsdSocket	hkBsdSocket: hkSocket, hkReferencedObject, hkBaseObject;
01420670C8	12		hkSolverAllocator	hkSolverAllocator: hkMemoryAllocator;
0142067130	12		hkRecallAllocator	hkRecallAllocator: hkMemoryAllocator;
014206B1A8	4		hkcdDynamicAabbTree	hkcdDynamicAabbTree: hkReferencedObject, hkBaseObject;
014206B438	4		hkcdStaticAabbTree	hkcdStaticAabbTree: hkReferencedObject, hkBaseObject;
014206B828	2		hkcdSimdTree::IParallelBuild::IRunnable	struct hkcdSimdTree::IParallelBuild::IRunnable: 
014206B840	3		hkcdSimdTree	struct hkcdSimdTree: hkBaseObject;
014206B860	2		hkcdSimdTreeUtils::Build::EmptyRunnable	struct hkcdSimdTreeUtils::Build::EmptyRunnable: struct hkcdSimdTree::IParallelBuild::IRunnable;
014206B878	3		hkcdSimdTreeUtils::Build::IRefit	struct hkcdSimdTreeUtils::Build::IRefit: 
014206B898	2		hkcdSimdTreeUtils::Build::Task	struct hkcdSimdTreeUtils::Build::Task: struct hkcdSimdTree::IParallelBuild::IRunnable;
014206B928	3		hkcdSimdTreeUtils::Build::RefitT<hkcdSimdTreeUtils::Build::GetLeafAabbFromAabbs>	struct hkcdSimdTreeUtils::Build::RefitT<hkcdSimdTreeUtils::Build::GetLeafAabbFromAabbs>: struct hkcdSimdTreeUtils::Build::IRefit;
014206B948	3		hkcdSimdTreeUtils::Build::RefitT<hkcdSimdTreeUtils::Build::GetLeafAabbFromAabbs16>	struct hkcdSimdTreeUtils::Build::RefitT<hkcdSimdTreeUtils::Build::GetLeafAabbFromAabbs16>: struct hkcdSimdTreeUtils::Build::IRefit;
014206B968	3		hkcdSimdTreeUtils::Build::RefitT<hkcdSimdTreeUtils::Build::GetLeafAabbFromSpheres>	struct hkcdSimdTreeUtils::Build::RefitT<hkcdSimdTreeUtils::Build::GetLeafAabbFromSpheres>: struct hkcdSimdTreeUtils::Build::IRefit;
014206B988	3		hkcdSimdTreeUtils::Build::RefitT<hkcdSimdTreeUtils::Build::GetLeafAabbFromPoints>	struct hkcdSimdTreeUtils::Build::RefitT<hkcdSimdTreeUtils::Build::GetLeafAabbFromPoints>: struct hkcdSimdTreeUtils::Build::IRefit;
014206B9A8	3		hkcdSimdTreeUtils::Build::RefitT<hkcdSimdTreeUtils::Build::GetLeafAabbFromICustomRefit>	struct hkcdSimdTreeUtils::Build::RefitT<hkcdSimdTreeUtils::Build::GetLeafAabbFromICustomRefit>: struct hkcdSimdTreeUtils::Build::IRefit;
014206C598	5		hkcdPlanarEntity	hkcdPlanarEntity: hkReferencedObject, hkBaseObject;
014206CE38	4		hkcdPlanarGeometryPrimitives::Collection<28>	hkcdPlanarGeometryPrimitives::Collection<28>: hkReferencedObject, hkBaseObject;
014206D560	4		hkcdPlanarSolid::NodeStorage	struct hkcdPlanarSolid::NodeStorage: hkReferencedObject, hkBaseObject;
014206E358	4		hkcdPlanarSolid::ArrayMgr	struct hkcdPlanarSolid::ArrayMgr: hkcdPlanarGeometryPrimitives::Collection<28>, hkReferencedObject, hkBaseObject;
014206E380	4		hkcdPlanarCsgOperand	hkcdPlanarCsgOperand: hkReferencedObject, hkBaseObject;
014206E558	4	M	hkcdPlanarGeometry::VertexStorage	struct hkcdPlanarGeometry::VertexStorage: hkReferencedObject, hkBaseObject, hkArray<hkVector4d,hkContainerHeapAllocator>, hkArrayBase<hkVector4d>;
014206E580	5		hkcdPlanarGeometry	hkcdPlanarGeometry: hkcdPlanarEntity, hkReferencedObject, hkBaseObject;
014206E7B8	4		hkcdPlanarGeometryPlanesCollection	hkcdPlanarGeometryPlanesCollection: hkReferencedObject, hkBaseObject;
014206E938	4		hkcdPlanarGeometryPolygonCollection	hkcdPlanarGeometryPolygonCollection: hkcdPlanarGeometryPrimitives::Collection<28>, hkReferencedObject, hkBaseObject;
014206EAA8	5		hkcdPlanarSolid	hkcdPlanarSolid: hkcdPlanarEntity, hkReferencedObject, hkBaseObject;
014206EB90	4		hkcdShape	hkcdShape: hkReferencedObject, hkBaseObject;
014206EE08	4		hkcdNewCellsCollection	hkcdNewCellsCollection: hkReferencedObject, hkBaseObject;
014206EE30	5		hkcdConvexCellsTree<hkcdNewCellsCollection::Cell,hkHandle<unsigned int,4294967295,hkcdNewCellsCollection::CellIdDiscriminant>,hkcdNewCellsCollection>	hkcdConvexCellsTree<hkcdNewCellsCollection::Cell,hkHandle<unsigned int,4294967295,hkcdNewCellsCollection::CellIdDiscriminant>,hkcdNewCellsCollection>: hkcdPlanarEntity, hkReferencedObject, hkBaseObject;
014206EE60	4		hkcdConvexCellsTree3D::Data	struct hkcdConvexCellsTree3D::Data: hkReferencedObject, hkBaseObject;
014206EE88	5		hkcdConvexCellsTree3D	hkcdConvexCellsTree3D: hkcdConvexCellsTree<hkcdNewCellsCollection::Cell,hkHandle<unsigned int,4294967295,hkcdNewCellsCollection::CellIdDiscriminant>,hkcdNewCellsCollection>, hkcdPlanarEntity, hkReferencedObject, hkBaseObject;
01420854E8	20		hkMemoryMeshTexture	hkMemoryMeshTexture: hkMeshTexture, hkReferencedObject, hkBaseObject;
0142085F98	17		hkSkinnedMeshShape	hkSkinnedMeshShape: hkReferencedObject, hkBaseObject;
0142086028	17		hkStorageSkinnedMeshShape	hkStorageSkinnedMeshShape: hkSkinnedMeshShape, hkReferencedObject, hkBaseObject;
0142086228	4		hkIndexedTransformSet	hkIndexedTransformSet: hkReferencedObject, hkBaseObject;
0142086300	21		hkMemoryMeshBody	hkMemoryMeshBody: hkMeshBody, hkReferencedObject, hkBaseObject;
0142086468	22		hkMemoryMeshMaterial	hkMemoryMeshMaterial: hkMeshMaterial, hkReferencedObject, hkBaseObject;
0142086570	9		hkMemoryMeshShape	hkMemoryMeshShape: hkMeshShape, hkReferencedObject, hkBaseObject;
01420865C0	6		hkMemoryMeshTexture::Sampler	hkMemoryMeshTexture::Sampler: hkMeshTexture::Sampler, hkReferencedObject, hkBaseObject;
0142086678	15		hkMemoryMeshVertexBuffer	hkMemoryMeshVertexBuffer: hkMeshVertexBuffer, hkReferencedObject, hkBaseObject;
01420866F8	15		hkMultipleVertexBuffer	hkMultipleVertexBuffer: hkMeshVertexBuffer, hkReferencedObject, hkBaseObject;
0142086778	9		hkSkinBinding	hkSkinBinding: hkMeshShape, hkReferencedObject, hkBaseObject;
01420867C8	9		hkSkinnedRefMeshShape	hkSkinnedRefMeshShape: hkMeshShape, hkReferencedObject, hkBaseObject;
01420869E0	6		hkMeshTexture::Sampler	hkMeshTexture::Sampler: hkReferencedObject, hkBaseObject;
0142086C20	4		hkxAnimatedFloat	hkxAnimatedFloat: hkReferencedObject, hkBaseObject;
0142086C60	4		hkxAnimatedMatrix	hkxAnimatedMatrix: hkReferencedObject, hkBaseObject;
0142086CA0	4		hkxAnimatedQuaternion	hkxAnimatedQuaternion: hkReferencedObject, hkBaseObject;
0142086D08	4		hkxAnimatedVector	hkxAnimatedVector: hkReferencedObject, hkBaseObject;
0142086D48	4		hkxAttributeHolder	hkxAttributeHolder: hkReferencedObject, hkBaseObject;
0142086DB0	4		hkxBlob	hkxBlob: hkReferencedObject, hkBaseObject;
0142086E10	9		hkxBlobMeshShape	hkxBlobMeshShape: hkMeshShape, hkReferencedObject, hkBaseObject;
0142086ED0	4		hkxCamera	hkxCamera: hkReferencedObject, hkBaseObject;
0142087050	4		hkxEdgeSelectionChannel	hkxEdgeSelectionChannel: hkReferencedObject, hkBaseObject;
01420870D0	4		hkxSparselyAnimatedInt	hkxSparselyAnimatedInt: hkReferencedObject, hkBaseObject;
01420870F8	4		hkxEnum	hkxEnum: hkReferencedObject, hkBaseObject;
0142087120	4		hkxSparselyAnimatedEnum	hkxSparselyAnimatedEnum: hkxSparselyAnimatedInt, hkReferencedObject, hkBaseObject;
0142087300	4		hkxIndexBuffer	hkxIndexBuffer: hkReferencedObject, hkBaseObject;
0142087450	4		hkxLight	hkxLight: hkReferencedObject, hkBaseObject;
0142087540	4		hkxMaterial	hkxMaterial: hkxAttributeHolder, hkReferencedObject, hkBaseObject;
0142087DD8	4		hkxMaterialEffect	hkxMaterialEffect: hkReferencedObject, hkBaseObject;
0142087F90	4		hkxMaterialShader	hkxMaterialShader: hkReferencedObject, hkBaseObject;
0142088158	4		hkxMesh::UserChannelInfo	hkxMesh::UserChannelInfo: hkxAttributeHolder, hkReferencedObject, hkBaseObject;
0142088298	4		hkxMeshSection	hkxMeshSection: hkReferencedObject, hkBaseObject;
0142088400	4		hkxNode	hkxNode: hkxAttributeHolder, hkReferencedObject, hkBaseObject;
0142088690	4		hkxNodeSelectionSet	hkxNodeSelectionSet: hkxAttributeHolder, hkReferencedObject, hkBaseObject;
0142088748	4		hkxScene	hkxScene: hkReferencedObject, hkBaseObject;
0142088B18	4		hkxSkinBinding	hkxSkinBinding: hkReferencedObject, hkBaseObject;
0142088C20	4		hkxSparselyAnimatedBool	hkxSparselyAnimatedBool: hkReferencedObject, hkBaseObject;
0142088D38	4		hkxSparselyAnimatedString	hkxSparselyAnimatedString: hkReferencedObject, hkBaseObject;
0142088DD8	4		hkxSpline	hkxSpline: hkReferencedObject, hkBaseObject;
0142088F28	4		hkxTextureFile	hkxTextureFile: hkReferencedObject, hkBaseObject;
0142088FF8	4		hkxTextureInplace	hkxTextureInplace: hkReferencedObject, hkBaseObject;
01420890F0	4		hkxTriangleSelectionChannel	hkxTriangleSelectionChannel: hkReferencedObject, hkBaseObject;
0142089178	4		hkxVertexAnimation	hkxVertexAnimation: hkReferencedObject, hkBaseObject;
01420894C8	4		hkxVertexFloatDataChannel	hkxVertexFloatDataChannel: hkReferencedObject, hkBaseObject;
01420895A8	4		hkxVertexIntDataChannel	hkxVertexIntDataChannel: hkReferencedObject, hkBaseObject;
0142089628	4		hkxVertexSelectionChannel	hkxVertexSelectionChannel: hkReferencedObject, hkBaseObject;
01420896B0	4		hkxVertexVectorDataChannel	hkxVertexVectorDataChannel: hkReferencedObject, hkBaseObject;
0142089BD0	4		hkAlignSceneToNodeOptions	hkAlignSceneToNodeOptions: hkReferencedObject, hkBaseObject;
0142089D38	4		hkxEnvironment	hkxEnvironment: hkReferencedObject, hkBaseObject;
014208A000	4		hkxMaterialShaderSet	hkxMaterialShaderSet: hkReferencedObject, hkBaseObject;
014208A028	4		hkxMesh	hkxMesh: hkReferencedObject, hkBaseObject;
014208A050	4		hkxVertexBuffer	hkxVertexBuffer: hkReferencedObject, hkBaseObject;
014208A198	12		hkLoader	hkLoader: hkReferencedObject, hkBaseObject;
014208A4E0	9	M	hkTypeInfoRegistry	hkTypeInfoRegistry: hkReferencedObject, hkBaseObject, hkSingleton<hkTypeInfoRegistry>;
014208A560	4		hkBinaryTagfileWriter	hkBinaryTagfileWriter: hkTagfileWriter, hkReferencedObject, hkBaseObject;
014208A590	5		hkXmlTagfileReader	hkXmlTagfileReader: hkTagfileReader, hkReferencedObject, hkBaseObject;
014208A5C0	4		hkXmlTagfileWriter	hkXmlTagfileWriter: hkTagfileWriter, hkReferencedObject, hkBaseObject;
014208A698	5		`anonymous namespace'::ForwardingPackfileListerer	`anonymous namespace'::ForwardingPackfileListerer: hkTagfileWriter::AddDataObjectListener, hkReferencedObject, hkBaseObject;
014208A860	9		`anonymous namespace'::PeekStreamReader	`anonymous namespace'::PeekStreamReader: hkStreamReader, hkReferencedObject, hkBaseObject;
014208B270	4	M	hkVersionPatchManager	hkVersionPatchManager: hkReferencedObject, hkBaseObject, hkSingleton<hkVersionPatchManager>;
014208B298	5		hkDefaultClassWrapper	hkDefaultClassWrapper: hkVersionPatchManager::ClassWrapper, hkReferencedObject, hkBaseObject;
014208B4E8	12		hkDynamicClassNameRegistry	hkDynamicClassNameRegistry: hkClassNameRegistry, hkReferencedObject, hkBaseObject;
014208B550	12	M	hkDefaultClassNameRegistry	hkDefaultClassNameRegistry: hkDynamicClassNameRegistry, hkClassNameRegistry, hkReferencedObject, hkBaseObject, hkSingleton<hkDefaultClassNameRegistry>;
014208B5B8	8	M	hkVtableClassRegistry	hkVtableClassRegistry: hkReferencedObject, hkBaseObject, hkSingleton<hkVtableClassRegistry>;
014208B610	9	M	hkDefaultBuiltinTypeRegistry	hkDefaultBuiltinTypeRegistry: hkBuiltinTypeRegistry, hkReferencedObject, hkBaseObject, hkSingleton<hkBuiltinTypeRegistry>;
014208B7D8	12		hkPackfileWriter	hkPackfileWriter: hkReferencedObject, hkBaseObject;
014208BA28	4		`anonymous namespace'::InternedStringRefCounted	`anonymous namespace'::InternedStringRefCounted: hkReferencedObject, hkBaseObject;
014208BA50	1		hkDataRefCounted	hkDataRefCounted: 
014208BDE0	25		hkDataWorldDict	hkDataWorldDict: hkDataWorld, hkReferencedObject, hkBaseObject;
014208BEB0	13		hkDataClassDict	hkDataClassDict: hkDataClassImpl, hkDataRefCounted;
014208BF20	31		hkDataObjectDict	hkDataObjectDict: hkDataObjectImpl, hkDataRefCounted;
014208C020	40		VariableIntArrayImplementation	struct VariableIntArrayImplementation: hkDataArrayImpl, hkDataRefCounted;
014208C168	39		BasicArrayImplementation<unsigned char>	struct BasicArrayImplementation<unsigned char>: hkDataArrayImpl, hkDataRefCounted;
014208C2A8	39		ByteArrayImplementation	struct ByteArrayImplementation: struct BasicArrayImplementation<unsigned char>, hkDataArrayImpl, hkDataRefCounted;
014208C3E8	39		ArrayOfTuplesImplementation::View	struct ArrayOfTuplesImplementation::View: hkDataArrayImpl, hkDataRefCounted;
014208C528	39		ArrayOfTuplesImplementation	struct ArrayOfTuplesImplementation: hkDataArrayImpl, hkDataRefCounted;
014208C668	39		BasicArrayImplementation<float>	struct BasicArrayImplementation<float>: hkDataArrayImpl, hkDataRefCounted;
014208C7A8	39		RealArrayImplementation	struct RealArrayImplementation: struct BasicArrayImplementation<float>, hkDataArrayImpl, hkDataRefCounted;
014208C8E8	39		RealArrayView	struct RealArrayView: hkDataArrayImpl, hkDataRefCounted;
014208CA28	39		VecArrayImplementation	struct VecArrayImplementation: hkDataArrayImpl, hkDataRefCounted;
014208CB68	39		BasicArrayImplementation<hkDataObjectImpl * __ptr64>	struct BasicArrayImplementation<hkDataObjectImpl * __ptr64>: hkDataArrayImpl, hkDataRefCounted;
014208CCA8	39		PointerArrayImplementation	struct PointerArrayImplementation: struct BasicArrayImplementation<hkDataObjectImpl * __ptr64>, hkDataArrayImpl, hkDataRefCounted;
014208CDE8	39		BasicArrayImplementation<char * __ptr64>	struct BasicArrayImplementation<char * __ptr64>: hkDataArrayImpl, hkDataRefCounted;
014208CF28	39		CstringArrayImplementation	struct CstringArrayImplementation: struct BasicArrayImplementation<char * __ptr64>, hkDataArrayImpl, hkDataRefCounted;
014208D068	39		BasicArrayImplementation<hkDataArrayImpl * __ptr64>	struct BasicArrayImplementation<hkDataArrayImpl * __ptr64>: hkDataArrayImpl, hkDataRefCounted;
014208D1A8	39		ArrayArrayImplementation	struct ArrayArrayImplementation: struct BasicArrayImplementation<hkDataArrayImpl * __ptr64>, hkDataArrayImpl, hkDataRefCounted;
014208D2E8	36		StructArrayImplementation::Object	struct StructArrayImplementation::Object: hkDataObjectImpl, hkDataRefCounted;
014208D410	39		StructArrayImplementation	struct StructArrayImplementation: hkDataArrayImpl, hkDataRefCounted;
014208D648	26		hkDataWorldNative	hkDataWorldNative: hkDataWorld, hkReferencedObject, hkBaseObject;
014208D720	13		hkDataClassNative	hkDataClassNative: hkDataClassImpl, hkDataRefCounted;
014208D7B8	39		hkDataArrayNative	hkDataArrayNative: hkDataArrayImpl, hkDataRefCounted;
014208D8F8	31		hkDataObjectNative	hkDataObjectNative: hkDataObjectImpl, hkDataRefCounted;
014208DB40	11		hkSubStreamWriter	hkSubStreamWriter: hkStreamWriter, hkReferencedObject, hkBaseObject;
014208DBA0	12		hkBinaryPackfileWriter	hkBinaryPackfileWriter: hkPackfileWriter, hkReferencedObject, hkBaseObject;
014208DC08	5		hkBinaryTagfileReader	hkBinaryTagfileReader: hkTagfileReader, hkReferencedObject, hkBaseObject;
014208E0A0	9		LOCALNAMESPACE::hkNativeResource	struct LOCALNAMESPACE::hkNativeResource: hkResource, hkReferencedObject, hkBaseObject;
014208E418	10	M	hkSerializeDeprecated	hkSerializeDeprecated: hkReferencedObject, hkBaseObject, hkSingleton<hkSerializeDeprecated>;
014208E8D8	2		hkResourceMap	hkResourceMap: 
014208E8F0	15		hkMemoryResourceHandle	hkMemoryResourceHandle: hkResourceHandle, hkResourceBase, hkReferencedObject, hkBaseObject;
014208E970	17		hkMemoryResourceContainer	hkMemoryResourceContainer: hkResourceContainer, hkResourceBase, hkReferencedObject, hkBaseObject;
014208EA00	2		hkContainerResourceMap	hkContainerResourceMap: hkResourceMap;
014208EAF0	4		hkTypeManager	hkTypeManager: hkReferencedObject, hkBaseObject;
014208EB60	7		hkStaticClassNameRegistry	hkStaticClassNameRegistry: hkClassNameRegistry, hkReferencedObject, hkBaseObject;
014208EBD8	4		hkPlatformObjectWriter::Cache	hkPlatformObjectWriter::Cache: hkReferencedObject, hkBaseObject;
014208EC00	6		hkPlatformObjectWriter	hkPlatformObjectWriter: hkObjectWriter, hkReferencedObject, hkBaseObject;
014208EC38	9		hkPackfileData	hkPackfileData: hkResource, hkReferencedObject, hkBaseObject;
014208EC88	10		hkObjectResource	hkObjectResource: hkResource, hkReferencedObject, hkBaseObject;
01420962E8	4		hkParserBuffer	hkParserBuffer: hkReferencedObject, hkBaseObject;
0142096310	4		hkXmlStreamParser	hkXmlStreamParser: hkReferencedObject, hkBaseObject;
0142096450	4		hkXmlParser::StartElement	struct hkXmlParser::StartElement: struct hkXmlParser::Node, hkReferencedObject, hkBaseObject;
0142096478	4		hkXmlParser::EndElement	struct hkXmlParser::EndElement: struct hkXmlParser::Node, hkReferencedObject, hkBaseObject;
01420964A0	4		hkXmlParser::Characters	struct hkXmlParser::Characters: struct hkXmlParser::Node, hkReferencedObject, hkBaseObject;
01420964C8	7		hkXmlParser	hkXmlParser: hkReferencedObject, hkBaseObject;
0142096600	7		hkObjectCopier	hkObjectCopier: hkReferencedObject, hkBaseObject;
0142096860	4		hkXmlLexAnalyzer	hkXmlLexAnalyzer: hkReferencedObject, hkBaseObject;
0142096A80	6		hkDefaultImage	hkDefaultImage: hkImage, hkReferencedObject, hkBaseObject;
